observed_domain,blocked_by,majority_action
activitypub-troll.cf,>=80%,suspend
aethy.com,>=80%,suspend
asbestos.cafe,>=80%,suspend
bae.st,>=80%,suspend
baraag.net,>=80%,suspend
beefyboys.win,>=80%,suspend
breastmilk.club,>=80%,suspend
brighteon.social,>=80%,suspend
childlove.space,>=80%,suspend
childlove.su,>=80%,suspend
chudbuds.lol,>=80%,suspend
clubcyberia.co,>=80%,suspend
cum.salon,>=80%,suspend
cunnyborea.top,>=80%,suspend
detroitriotcity.com,>=80%,suspend
eientei.org,>=80%,suspend
eveningzoo.club,>=80%,suspend
freak.university,>=80%,suspend
freeatlantis.com,>=80%,suspend
freecumextremist.com,>=80%,suspend
freespeechextremist.com,>=80%,suspend
gameliberty.club,>=80%,suspend
genderheretics.xyz,>=80%,suspend
gleasonator.com,>=80%,suspend
iddqd.social,>=80%,suspend
kiwifarms.cc,>=80%,suspend
mastinator.com,>=80%,suspend
misskey-forkbomb.cf,>=80%,suspend
mugicha.club,>=80%,suspend
nicecrew.digital,>=80%,suspend
noagendasocial.com,>=80%,silence
obo.sh,>=80%,suspend
outpoa.st,>=80%,suspend
pawoo.net,>=80%,suspend
poa.st,>=80%,suspend
poster.place,>=80%,suspend
rdrama.cc,>=80%,suspend
repl.co,>=80%,suspend
ryona.agency,>=80%,suspend
seal.cafe,>=80%,suspend
shitpost.cloud,>=80%,suspend
shitposter.club,>=80%,suspend
shortstackran.ch,>=80%,suspend
shortstacksran.ch,>=80%,suspend
sneed.social,>=80%,suspend
social.cutefunny.net,>=80%,suspend
spinster.xyz,>=80%,suspend
varishangout.net,>=80%,suspend
wolfgirl.bar,>=80%,suspend
yggdrasil.social,>=80%,suspend
5dollah.click,>=66%,suspend
activitypub-proxy.cf,>=66%,suspend
annihilation.social,>=66%,suspend
cannibal.cafe,>=66%,suspend
clew.lol,>=66%,suspend
cunnyborea.space,>=66%,suspend
decayable.ink,>=66%,suspend
gearlandia.haus,>=66%,suspend
kurosawa.moe,>=66%,suspend
leafposter.club,>=66%,suspend
lolison.top,>=66%,suspend
mapsupport.de,>=66%,suspend
masochi.st,>=66%,suspend
mirr0r.city,>=66%,suspend
mostr.pub,>=66%,suspend
nnia.space,>=66%,suspend
noauthority.social,>=66%,suspend
norwoodzero.net,>=66%,suspend
pettanko.art,>=66%,suspend
pieville.net,>=66%,suspend
pleroma.nobodyhasthe.biz,>=66%,suspend
rape.pet,>=66%,suspend
rojogato.com,>=66%,suspend
rot.gives,>=66%,suspend
shrimpposter.club,>=66%,suspend
skippers-bin.com,>=66%,suspend
sleepy.cafe,>=66%,suspend
supernets.social,>=66%,suspend
tastingtraffic.net,>=66%,suspend
truthsocial.co.in,>=66%,suspend
youjo.love,>=66%,suspend
a.sc,>=51%,suspend
bird.makeup,>=51%,suspend
birdsite.tcjc.uk,>=51%,suspend
birdsite.wilde.cloud,>=51%,suspend
boymoder.biz,>=51%,suspend
cawfee.club,>=51%,suspend
crlf.ninja,>=51%,suspend
cybercriminal.eu,>=51%,suspend
fr13nd5.com,>=51%,suspend
frennet.xyz,>=51%,suspend
gab.com,>=51%,suspend
geofront.rocks,>=51%,suspend
ghetti.monster,>=51%,suspend
glee.li,>=51%,suspend
glindr.org,>=51%,suspend
h5q.net,>=51%,suspend
hentai.baby,>=51%,suspend
hunk.city,>=51%,suspend
lewdieheaven.com,>=51%,suspend
liberdon.com,>=51%,suspend
lolison.network,>=51%,suspend
merovingian.club,>=51%,suspend
pedo.school,>=51%,suspend
pooper.social,>=51%,suspend
rakket.app,>=51%,suspend
rapemeat.express,>=51%,suspend
rapemeat.solutions,>=51%,suspend
shota.house,>=51%,suspend
skinheads.social,>=51%,suspend
solagg.com,>=51%,suspend
strelizia.net,>=51%,suspend
urchan.org,>=51%,suspend
zztails.gay,>=51%,suspend
