#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
aethy.com,suspend,false,false,IFTAS DNI,false
bae.st,suspend,false,false,IFTAS DNI,false
baraag.net,suspend,false,false,IFTAS DNI,false
beefyboys.win,suspend,false,false,IFTAS DNI,false
chudbuds.lol,suspend,false,false,IFTAS DNI,false
cum.salon,suspend,false,false,IFTAS DNI,false
detroitriotcity.com,suspend,false,false,IFTAS DNI,false
eientei.org,suspend,false,false,IFTAS DNI,false
eveningzoo.club,suspend,false,false,IFTAS DNI,false
freecumextremist.com,suspend,false,false,IFTAS DNI,false
freespeechextremist.com,suspend,false,false,IFTAS DNI,false
h5q.net,suspend,false,false,IFTAS DNI,false
kiwifarms.cc,suspend,false,false,IFTAS DNI,false
misskey-forkbomb.cf,suspend,false,false,IFTAS DNI,false
mugicha.club,suspend,false,false,IFTAS DNI,false
neomobius.com,suspend,false,false,IFTAS DNI,false
nicecrew.digital,suspend,false,false,IFTAS DNI,false
obo.sh,suspend,false,false,IFTAS DNI,false
pawoo.net,suspend,false,false,IFTAS DNI,false
poa.st,suspend,false,false,IFTAS DNI,false
poster.place,suspend,false,false,IFTAS DNI,false
rdrama.cc,suspend,false,false,IFTAS DNI,false
repl.co,suspend,false,false,IFTAS DNI,false
ryona.agency,suspend,false,false,IFTAS DNI,false
shitpost.cloud,suspend,false,false,IFTAS DNI,false
shitposter.club,suspend,false,false,IFTAS DNI,false
twi.social,suspend,false,false,IFTAS DNI,false
varishangout.net,suspend,false,false,IFTAS DNI,false
